# NOTE: rows overlap heavily (episodes share buckets) -> correlation magnitudes read SMALL (a ~10pp win-rate gap is roughly r = 8-10%). The RANKING is the meaningful part, not the absolute size. level/tempo artifact flags still apply. Discovery slice only; HOLDOUT SEALED.
feature_code,plain_name,type,corr_pct,n,coverage_pct,effect_pp,flag
E43.10,Day-rank of POC share,num,-3.52,6866,100.0,-5.2,
B-P3.04,Dominant side label,cat,3.51,6869,100.0,3.4,
E13.06,Day-rank of sell volume,num,3.46,6866,100.0,3.9,
C.01,Direction over the 15: net UP or DOWN,cat,3.45,6869,100.0,10.0,
B-S.05,Net delta + delta percentage,num,3.45,6869,100.0,3.6,
E43.01,POC share of curr_vol,num,-3.39,6869,100.0,-4.9,
C.11,Compression share (buckets under 0.6 ATR),num,3.34,6869,100.0,3.7,
E18.04,clL streak (sustained unwind),num,-3.31,6855,99.8,-3.0,
C.09,Cumulative delta over the 15,num,3.26,6869,100.0,3.9,
B-P3.06,Aggregate seller multiple vs baseline,num,-3.26,6869,100.0,-4.4,
B-S.12,Aggregate S-E/R multiple,num,-3.26,6869,100.0,-4.4,
C.10,Cumulative dOI over the 15,num,3.2,6869,100.0,7.0,
B-P2.10,Dominance-flip count across the selection,num,-3.17,6869,100.0,-4.4,
E57.03,Depth percentile vs window,num,-3.16,6610,96.2,-5.6,
E17.06,Day-rank of opS,num,3.16,6866,100.0,2.1,
B-S.06,Net dOI,num,3.16,6869,100.0,7.0,
E54.04,Slope over last N buckets,num,-3.1,6869,100.0,-2.9,
B-P4.01,Current exhaustion value (badge),num,-3.05,6869,100.0,-6.8,
B-P4.03,Last-exhausted side's percentage,num,-3.05,6869,100.0,-6.8,
B-P3.02,Seller-side percentage (badge),num,-3.01,6869,100.0,-5.2,
B-P3.01,Buyer-side percentage (badge),num,3.01,6869,100.0,5.1,
E14.04,Same-sign delta streak (pressure persistence),num,2.95,6855,99.8,3.5,
E21.04,BUILD streak / DRAIN streak lengths,num,2.9,6855,99.8,2.3,
E16.06,Day-rank of opL,num,2.86,6866,100.0,3.9,
E54.03,z / percentile vs trailing 240,num,-2.84,6855,99.8,-4.6,
E51.07,z / percentile of large share,num,-2.84,2270,33.0,6.0,
E06.04,Same-direction streak length,num,2.83,6855,99.8,5.2,
E13.03,Sell-dominance streak,num,-2.81,6855,99.8,-2.1,
B-P3.05,Aggregate buyer multiple vs trailing baseline,num,2.8,6869,100.0,3.1,
B-S.11,Aggregate B-E/R multiple,num,2.8,6869,100.0,3.1,
E21.01,Sign: BUILD vs DRAIN,cat,2.79,6869,100.0,3.3,
E60.01,State label (categorical) + one-hot vector,cat,2.79,6869,100.0,6.7,
E62.01,Historical frequency of each state,cat,2.79,6869,100.0,6.7,
E13.01,Sell share: sell_vol / curr_vol,num,2.77,6869,100.0,3.0,
B-P1.01,Bull absorption percentage (badge),num,-2.77,6869,100.0,-4.4,
B-P1.02,Bear absorption percentage (badge),num,2.77,6869,100.0,4.5,
B-P3.03,Spread: buyer% - seller%,num,-2.71,6869,100.0,-2.0,
E06.01,Sign (direction) and magnitude,cat,2.71,6869,100.0,3.2,
E06.10,Contribution sign to trailing bucket-CVD of price,cat,2.71,6869,100.0,3.2,
E12.08,Log buy volume,num,2.67,6869,100.0,4.4,
E18.02,z / percentile,num,2.57,6855,99.8,3.6,
B-P4.05,Spread between the two sides,num,-2.43,6869,100.0,-6.4,
E31.01,Current level,num,-2.34,6797,99.0,24.8,tempo
B-P2.11,Entry-bucket raw value,num,2.33,6869,100.0,1.4,
B-S.14,Selection range + net price change %,num,2.3,6869,100.0,5.6,
E19.04,clS streak,num,-2.3,6855,99.8,-2.1,
G03.1,delta and delta fraction (the canonical pair),num,2.26,6869,100.0,1.9,
E15.05,One-sidedness streak,num,-2.2,6855,99.8,-1.5,
B-S.10,Sum ClS,num,2.16,6869,100.0,0.5,
E37.05,Absorption streak per side,num,2.08,6855,99.8,0.2,
C.02,Net % change over the 15,num,2.06,6869,100.0,4.9,
C.12,Sweep-event count in the 15,num,2.05,6869,100.0,3.4,
E19.02,z / percentile,num,2.02,6855,99.8,4.1,
E16.01,opL / vol fraction,num,2.02,6869,100.0,1.9,
E16.02,z-score / percentile vs window,num,2.0,6855,99.8,2.3,
E21.10,Day-rank of |dOI|,num,1.97,6866,100.0,3.6,
E14.09,Day-rank of abs(delta),num,1.91,6866,100.0,2.4,
E45.05,z-score of dispersion,num,1.89,6855,99.8,3.8,
E24.06,Hot streak,num,-1.88,6855,99.8,-3.9,
E05.03,Range z-score,num,1.85,6855,99.8,3.6,
B-P1.09,Peak-absorption bucket position (0..15),num,1.85,6869,100.0,2.1,
K.08,Channel slope (mid-line drift over N buckets),num,1.84,6865,99.9,4.7,
E13.08,Log sell volume,num,1.81,6869,100.0,3.0,
E37.01,Absolute absorbed volume + side,num,1.71,6869,100.0,0.8,
E14.01,Sign and magnitude,cat,1.71,6869,100.0,1.6,
E56.01,ATR value,num,1.67,6855,99.8,3.0,
E23.06,Hot streak length,num,-1.67,6855,99.8,-0.7,
E54.02,Tier: calm / warn / toxic (adaptive percentiles),num,1.66,6645,96.7,1.7,
E55.01,Current warn / toxic threshold values,num,1.66,6645,96.7,1.7,
E38.01,Absolute eff-agg + side,num,1.65,6869,100.0,0.9,
E55.09,Percentile-window fill health,num,-1.62,6644,96.7,-2.0,
E33.01,Buyer multiplier / seller multiplier values,num,-1.62,6869,100.0,-3.2,
K.05,"Entry close position inside the channel, 0..1",num,1.6,6865,99.9,3.8,
E22.01,OPEN_OI ramp value (0.10-0.50),num,-1.58,6869,100.0,0.3,
C.03,Linear-fit slope + R-squared (trendiness),num,1.58,6869,100.0,4.2,
E50.09,Large-count streak,num,1.56,2270,33.0,5.9,
E17.01,opS / vol fraction,num,1.54,6869,100.0,2.3,
E56.06,ATR percentile vs day,num,1.54,6645,96.7,2.0,
B-P1.04,Dominant side label,cat,1.53,6869,100.0,1.5,
E51.08,Large-share streak,num,-1.52,2270,33.0,3.9,
E28.05,Percentile / z vs window,num,-1.52,6855,99.8,2.8,
E12.10,Buy-share slope over trailing 5 buckets,num,1.5,6869,100.0,1.7,
E29.02,Percentile / z vs trailing window,num,-1.5,5454,79.4,1.6,tempo
E16.04,opL streak (persistent long initiative),num,-1.48,6855,99.8,4.0,
E07.01,Raw fraction 0..1,num,-1.48,6834,99.5,-1.9,
G02.1,"Range, body, wicks, close-position -- the full geometry family",num,-1.48,6834,99.5,-1.9,
B-P1.05,Absolute bull V*s over the selection,num,1.48,6869,100.0,4.0,
E13.10,Sell-share slope over trailing 5 buckets,num,-1.48,6869,100.0,-1.9,
E03.07,Fast/slow STREAK length (consecutive buckets same class),num,1.45,6855,99.8,3.6,
E23.04,Percentile vs window,num,1.42,6645,96.7,2.7,
E48.02,z / percentile,num,-1.4,6855,99.8,-4.3,
E18.01,clL / vol fraction,num,1.36,6869,100.0,-1.4,
E33.05,Percentile of each vs day,num,-1.36,6645,96.7,-2.6,
E06.02,Log return of the body,num,1.35,6869,100.0,2.2,
K.12,POC-baseline slope + consecutive-side streak,num,-1.35,6645,96.7,-3.4,
B-P1.07,Sum: absorbed share of selection volume,num,1.31,6869,100.0,2.8,
E21.03,z / percentile,num,-1.3,6855,99.8,0.4,
B-P1.08,Trajectory slope across the selection,num,-1.29,6869,100.0,-1.7,
E20.04,High-churn streak,num,1.24,6855,99.8,2.7,
E03.02,Duration percentile vs trailing 30 and 240 buckets,num,1.23,6645,96.7,2.5,
B-P4.02,LAST EXHAUSTED SIDE (bull / bear),cat,1.23,6869,100.0,1.2,
E17.04,opS streak,num,1.2,6855,99.8,4.2,
E15.04,Percentile / z vs window,num,-1.2,6855,99.8,-1.2,
C.07,Higher-highs / lower-lows counts,num,1.18,6869,100.0,1.2,
E47.01,Absolute + /vol fraction,num,-1.17,6869,100.0,,
B-P1.10,Validated-dot (s>=0.60) count in selection,num,-1.17,6869,100.0,-1.5,
E23.08,Effort acceleration vs prior,num,-1.11,6869,100.0,-1.3,
E54.05,Tier-dwell streak,num,1.11,6855,99.8,1.7,
E36.05,s slope over last 5 buckets,num,-1.11,6869,100.0,-1.2,
E07.05,Trend-bar streak length,num,-1.1,6104,88.9,-3.1,
B-P2.06,Absolute bear V*(1-s) over the selection,num,-1.07,6869,100.0,-2.7,
B-P1.11,Entry-bucket raw (un-smoothed) hover value,num,-1.05,6869,100.0,-0.7,
G04.1,Price moved per net contract (efficiency of aggression),num,-1.05,6869,100.0,-0.2,
E28.01,Raw multiple,num,-1.03,6869,100.0,-5.0,
E36.03,Percentile / z vs window,num,-1.03,6855,99.8,-1.9,
E24.04,Percentile,num,-1.03,6645,96.7,-1.0,
E23.09,Day-rank of buyer effort,num,1.02,6866,100.0,2.0,
E19.01,clS / vol fraction,num,1.02,6869,100.0,-1.1,
E38.03,Day-rank,num,1.01,6866,100.0,0.3,
E24.09,Day-rank,num,-1.01,6866,100.0,-1.0,
E43.02,Percentile / z of the share,num,-1.0,6855,99.8,0.0,
E29.04,Pace streak,num,1.0,5454,79.4,2.1,tempo
E39.04,Consecutive-dot streak,num,-0.99,6855,99.8,-4.0,
E47.06,Day-rank,num,0.96,6866,100.0,-2.0,
E14.06,Delta acceleration (this vs prior magnitude),num,-0.96,6869,100.0,-1.1,
E57.01,Swept prior HIGH (Y/N) / swept prior LOW (Y/N),num,0.96,6834,99.5,2.3,
B-P3.10,Entry-bucket raw value,num,0.95,6869,100.0,1.4,
E24.02,z vs trailing-30,num,-0.94,6855,99.8,-1.1,
E37.02,Percentile / z vs window,num,-0.9,6855,99.8,-3.7,
E48.10,Acceleration,num,-0.89,6869,100.0,1.9,
E10.04,Percentile vs trailing window,num,-0.88,6610,96.2,-1.9,
E24.01,Raw value / log value,num,-0.84,6869,100.0,-2.3,
E25.02,Percentile / z vs window,num,0.81,6855,99.8,1.3,
E36.04,High-s streak,num,0.8,6855,99.8,-0.7,
E47.02,z / percentile vs window,num,-0.78,6855,99.8,0.6,
E37.03,Day-rank of absorbed volume,num,0.76,6866,100.0,-0.3,
E12.02,Buy z-score / percentile vs trailing window,num,0.75,6855,99.8,1.2,
E15.01,Raw fraction,num,-0.72,6869,100.0,-0.2,
E57.05,Sweep magnitude z,num,-0.71,6094,88.7,-0.3,
G08.1,vel = volume/second and Speed multiple (canonical),num,0.7,6797,99.0,14.0,tempo
E38.07,Acceleration,num,-0.69,6869,100.0,-1.1,
E17.02,z-score / percentile,num,-0.68,6855,99.8,3.0,
B-S.09,Sum ClL,num,0.65,6869,100.0,-3.8,
C.04,Path class: trend / range / V-shape,cat,0.64,6869,100.0,0.6,
E06.03,Body percentile / z-score vs window,num,0.63,6855,99.8,1.1,
E49.01,Total-liq fraction,num,-0.62,6869,100.0,,
E24.08,Effort acceleration,num,0.6,6869,100.0,0.2,
E20.08,Churn acceleration,num,-0.59,6869,100.0,-1.0,
E39.01,Present (Y/N) + side,num,-0.54,6869,100.0,,
E18.07,clL acceleration,num,0.52,6869,100.0,-0.7,
E17.08,opS acceleration,num,0.51,6869,100.0,2.0,
B-P2.03,Spread: bull% - bear%,num,-0.51,6869,100.0,-0.4,
E43.05,Dominant-POC streak,num,-0.49,6855,99.8,-1.8,
E48.01,Absolute + /vol fraction,num,0.49,6869,100.0,,
G06.1,Net OI change + open:close ratio,num,0.45,6869,100.0,2.7,
E10.07,Persistently-high/low POC streak,num,0.42,6104,88.9,0.4,
E29.05,Pace acceleration,num,-0.41,6683,97.3,0.1,tempo
E19.07,clS acceleration,num,0.4,6869,100.0,1.0,
B-P3.07,Hot-bucket count (>=1.5x) in selection,num,-0.39,6869,100.0,1.0,
E13.02,Sell z-score / percentile,num,0.37,6855,99.8,-0.4,
E37.06,Absorption acceleration,num,0.36,6869,100.0,0.4,
E18.08,Day-rank of clL,num,0.35,6866,100.0,-0.1,
E47.10,Acceleration vs prior bucket,num,-0.34,6869,100.0,0.4,
E20.03,z / percentile,num,-0.34,6855,99.8,-0.2,
B-P3.09,Peak-E/R bucket position,num,-0.3,6869,100.0,-0.1,
E23.01,Raw value / log value,num,0.29,6869,100.0,-0.7,
E32.03,Slope of target over the day,num,0.29,6869,100.0,4.2,
E28.07,Speed acceleration vs prior,num,-0.28,6869,100.0,-1.7,
E07.04,Percentile / z vs trailing window,num,-0.24,6104,88.9,-0.1,
E38.02,Percentile / z,num,0.2,6855,99.8,-0.1,
E21.08,dOI acceleration,num,-0.2,6869,100.0,-0.4,
E14.03,Delta z-score / percentile,num,0.18,6855,99.8,0.9,
B-P2.08,Trajectory slope across the selection,num,-0.15,6869,100.0,-0.7,
B-P2.09,Peak eff-agg bucket position,num,0.13,6869,100.0,0.8,
E02.01,UTC hour-of-day at close,num,-0.12,6869,100.0,3.6,
E01.01,UTC hour-of-day (0-23),num,-0.12,6869,100.0,3.6,
E16.08,opL acceleration vs prior bucket,num,-0.1,6869,100.0,0.4,
E33.06,Slope over the selection window,num,-0.08,6869,100.0,-1.1,
E56.05,ATR slope (vol regime drift),num,0.06,6851,99.7,-0.4,
E36.01,Raw s,num,0.04,6869,100.0,-0.0,
E03.08,Duration acceleration: ratio vs prior bucket,num,-0.04,6869,100.0,0.1,
E19.08,Day-rank of clS,num,0.03,6866,100.0,-0.8,
K.06,Zone tag: above / upper-half / lower-half / below,cat,0.03,6865,99.9,0.0,
E10.01,Raw 0..1 position,num,0.02,6834,99.5,-1.2,
G10.1,poc_pos and close-vs-VA position (acceptance/rejection),num,0.02,6834,99.5,-1.2,
E38.06,Eff-agg streak per side,num,0.01,6855,99.8,0.4,
E23.02,z vs trailing-30 (the baseline convention),num,0.01,6855,99.8,-0.2,
E28.06,Speed streak (consecutive > 1x),num,0.0,6855,99.8,-1.0,
E31.02,Slope over trailing window (regime drift),num,-0.0,6579,95.8,-8.7,tempo
B-S.01,Selection bucket count,cat,0.0,6869,100.0,,
E04.05,Close>open sign (up/down bucket),cat,0.0,6869,100.0,,level
B-S.04,Sell | Buy split,cat,,6869,100.0,,degenerate
