code	family	reason
E30.07	E	abnormal-velocity flag family — deferred (threshold semantics)
E30.08	E	abnormal-velocity flag family — deferred (threshold semantics)
E30.09	E	abnormal-velocity flag family — deferred (threshold semantics)
E30.10	E	abnormal-velocity flag family — deferred (threshold semantics)
E31.03	E	catalog transform not unambiguously specified
E31.05	E	catalog transform not unambiguously specified
E31.06	E	catalog transform not unambiguously specified
E31.07	E	catalog transform not unambiguously specified
E31.08	E	catalog transform not unambiguously specified
E31.09	E	catalog transform not unambiguously specified
E31.10	E	catalog transform not unambiguously specified
E32.02	E	catalog transform not unambiguously specified
E32.04	E	catalog transform not unambiguously specified
E32.05	E	catalog transform not unambiguously specified
E32.06	E	catalog transform not unambiguously specified
E32.08	E	catalog transform not unambiguously specified
E32.09	E	catalog transform not unambiguously specified
E32.10	E	catalog transform not unambiguously specified
E33.02	E	catalog transform not unambiguously specified
E33.03	E	catalog transform not unambiguously specified
E33.04	E	catalog transform not unambiguously specified
E33.07	E	catalog transform not unambiguously specified
E33.08	E	catalog transform not unambiguously specified
E33.09	E	catalog transform not unambiguously specified
E33.10	E	catalog transform not unambiguously specified
E34.01	E	gated true-exhaustion geomean — deferred (exact gate not exposed as one fn)
E34.02	E	gated true-exhaustion geomean — deferred (exact gate not exposed as one fn)
E34.03	E	gated true-exhaustion geomean — deferred (exact gate not exposed as one fn)
E34.04	E	gated true-exhaustion geomean — deferred (exact gate not exposed as one fn)
E34.05	E	gated true-exhaustion geomean — deferred (exact gate not exposed as one fn)
E34.06	E	gated true-exhaustion geomean — deferred (exact gate not exposed as one fn)
E34.07	E	gated true-exhaustion geomean — deferred (exact gate not exposed as one fn)
E34.08	E	gated true-exhaustion geomean — deferred (exact gate not exposed as one fn)
E34.09	E	gated true-exhaustion geomean — deferred (exact gate not exposed as one fn)
E34.10	E	gated true-exhaustion geomean — deferred (exact gate not exposed as one fn)
E35.01	E	selection-scoped exhaustion lines — belongs to scope panels (T2/T3)
E35.02	E	selection-scoped exhaustion lines — belongs to scope panels (T2/T3)
E35.03	E	selection-scoped exhaustion lines — belongs to scope panels (T2/T3)
E35.04	E	selection-scoped exhaustion lines — belongs to scope panels (T2/T3)
E35.05	E	selection-scoped exhaustion lines — belongs to scope panels (T2/T3)
E35.06	E	selection-scoped exhaustion lines — belongs to scope panels (T2/T3)
E35.07	E	selection-scoped exhaustion lines — belongs to scope panels (T2/T3)
E35.08	E	selection-scoped exhaustion lines — belongs to scope panels (T2/T3)
E35.09	E	selection-scoped exhaustion lines — belongs to scope panels (T2/T3)
E35.10	E	selection-scoped exhaustion lines — belongs to scope panels (T2/T3)
E36.02	E	catalog transform not unambiguously specified
E36.06	E	catalog transform not unambiguously specified
E36.07	E	catalog transform not unambiguously specified
E36.08	E	catalog transform not unambiguously specified
E36.09	E	catalog transform not unambiguously specified
E36.10	E	catalog transform not unambiguously specified
E37.04	E	catalog transform not unambiguously specified
E37.07	E	catalog transform not unambiguously specified
E37.08	E	catalog transform not unambiguously specified
E37.09	E	catalog transform not unambiguously specified
E37.10	E	catalog transform not unambiguously specified
E38.04	E	catalog transform not unambiguously specified
E38.05	E	catalog transform not unambiguously specified
E38.08	E	catalog transform not unambiguously specified
E38.09	E	catalog transform not unambiguously specified
E38.10	E	catalog transform not unambiguously specified
E39.02	E	catalog transform not unambiguously specified
E39.03	E	catalog transform not unambiguously specified
E39.05	E	catalog transform not unambiguously specified
E39.06	E	catalog transform not unambiguously specified
E39.07	E	catalog transform not unambiguously specified
E39.08	E	catalog transform not unambiguously specified
E39.09	E	catalog transform not unambiguously specified
E39.10	E	catalog transform not unambiguously specified
E40.01	E	adaptive display zones — deferred (display-only)
E40.02	E	adaptive display zones — deferred (display-only)
E40.03	E	adaptive display zones — deferred (display-only)
E40.04	E	adaptive display zones — deferred (display-only)
E40.05	E	adaptive display zones — deferred (display-only)
E40.06	E	adaptive display zones — deferred (display-only)
E40.07	E	adaptive display zones — deferred (display-only)
E40.08	E	adaptive display zones — deferred (display-only)
E40.09	E	adaptive display zones — deferred (display-only)
E40.10	E	adaptive display zones — deferred (display-only)
E41.01	E	intrabucket iceberg-absorption marks — NOT COMPUTABLE (live tape / depth.db, 6h)
E41.02	E	intrabucket iceberg-absorption marks — NOT COMPUTABLE (live tape / depth.db, 6h)
E41.03	E	intrabucket iceberg-absorption marks — NOT COMPUTABLE (live tape / depth.db, 6h)
E41.04	E	intrabucket iceberg-absorption marks — NOT COMPUTABLE (live tape / depth.db, 6h)
E41.05	E	intrabucket iceberg-absorption marks — NOT COMPUTABLE (live tape / depth.db, 6h)
E41.06	E	intrabucket iceberg-absorption marks — NOT COMPUTABLE (live tape / depth.db, 6h)
E41.07	E	intrabucket iceberg-absorption marks — NOT COMPUTABLE (live tape / depth.db, 6h)
E41.08	E	intrabucket iceberg-absorption marks — NOT COMPUTABLE (live tape / depth.db, 6h)
E41.09	E	intrabucket iceberg-absorption marks — NOT COMPUTABLE (live tape / depth.db, 6h)
E41.10	E	intrabucket iceberg-absorption marks — NOT COMPUTABLE (live tape / depth.db, 6h)
E42.02	E	catalog transform not unambiguously specified
E42.03	E	catalog transform not unambiguously specified
E42.04	E	catalog transform not unambiguously specified
E42.05	E	catalog transform not unambiguously specified
E42.06	E	catalog transform not unambiguously specified
E42.07	E	catalog transform not unambiguously specified
E42.08	E	catalog transform not unambiguously specified
E42.09	E	catalog transform not unambiguously specified
E42.10	E	catalog transform not unambiguously specified
E42.11	E	catalog transform not unambiguously specified
E43.03	E	catalog transform not unambiguously specified
E43.04	E	catalog transform not unambiguously specified
E43.06	E	catalog transform not unambiguously specified
E43.07	E	catalog transform not unambiguously specified
E43.08	E	catalog transform not unambiguously specified
E43.09	E	catalog transform not unambiguously specified
E44.01	E	per-level imbalance flag — deferred (per-level, needs trailing BER/SER baseline)
E44.02	E	per-level imbalance flag — deferred (per-level, needs trailing BER/SER baseline)
E44.03	E	per-level imbalance flag — deferred (per-level, needs trailing BER/SER baseline)
E44.04	E	per-level imbalance flag — deferred (per-level, needs trailing BER/SER baseline)
E44.05	E	per-level imbalance flag — deferred (per-level, needs trailing BER/SER baseline)
E44.06	E	per-level imbalance flag — deferred (per-level, needs trailing BER/SER baseline)
E44.07	E	per-level imbalance flag — deferred (per-level, needs trailing BER/SER baseline)
E44.08	E	per-level imbalance flag — deferred (per-level, needs trailing BER/SER baseline)
E44.09	E	per-level imbalance flag — deferred (per-level, needs trailing BER/SER baseline)
E44.10	E	per-level imbalance flag — deferred (per-level, needs trailing BER/SER baseline)
E45.03	E	catalog transform not unambiguously specified
E45.04	E	catalog transform not unambiguously specified
E45.07	E	catalog transform not unambiguously specified
E45.08	E	catalog transform not unambiguously specified
E45.09	E	catalog transform not unambiguously specified
E45.10	E	catalog transform not unambiguously specified
E46.01	E	further-derivable ladder metrics — deferred (unspecified)
E46.02	E	further-derivable ladder metrics — deferred (unspecified)
E46.03	E	further-derivable ladder metrics — deferred (unspecified)
E46.04	E	further-derivable ladder metrics — deferred (unspecified)
E46.05	E	further-derivable ladder metrics — deferred (unspecified)
E46.06	E	further-derivable ladder metrics — deferred (unspecified)
E46.07	E	further-derivable ladder metrics — deferred (unspecified)
E46.08	E	further-derivable ladder metrics — deferred (unspecified)
E46.09	E	further-derivable ladder metrics — deferred (unspecified)
E46.10	E	further-derivable ladder metrics — deferred (unspecified)
E47.03	E	catalog transform not unambiguously specified
E47.04	E	catalog transform not unambiguously specified
E47.07	E	catalog transform not unambiguously specified
E47.08	E	catalog transform not unambiguously specified
E47.09	E	catalog transform not unambiguously specified
E48.03	E	catalog transform not unambiguously specified
E48.04	E	catalog transform not unambiguously specified
E48.07	E	catalog transform not unambiguously specified
E48.08	E	catalog transform not unambiguously specified
E48.09	E	catalog transform not unambiguously specified
E49.02	E	catalog transform not unambiguously specified
E49.03	E	catalog transform not unambiguously specified
E49.04	E	catalog transform not unambiguously specified
E49.06	E	catalog transform not unambiguously specified
E49.07	E	catalog transform not unambiguously specified
E49.08	E	catalog transform not unambiguously specified
E49.09	E	catalog transform not unambiguously specified
E49.10	E	catalog transform not unambiguously specified
E50.02	E	catalog transform not unambiguously specified
E50.03	E	catalog transform not unambiguously specified
E50.04	E	catalog transform not unambiguously specified
E50.05	E	catalog transform not unambiguously specified
E50.06	E	catalog transform not unambiguously specified
E50.07	E	catalog transform not unambiguously specified
E50.10	E	catalog transform not unambiguously specified
E51.02	E	catalog transform not unambiguously specified
E51.03	E	catalog transform not unambiguously specified
E51.04	E	catalog transform not unambiguously specified
E51.05	E	catalog transform not unambiguously specified
E51.06	E	catalog transform not unambiguously specified
E51.09	E	catalog transform not unambiguously specified
E51.10	E	catalog transform not unambiguously specified
E52.01	E	LARGE/SMALL/WHALE slices — deferred (needs size_thr percentile anchors, E53)
E52.02	E	LARGE/SMALL/WHALE slices — deferred (needs size_thr percentile anchors, E53)
E52.03	E	LARGE/SMALL/WHALE slices — deferred (needs size_thr percentile anchors, E53)
E52.04	E	LARGE/SMALL/WHALE slices — deferred (needs size_thr percentile anchors, E53)
E52.05	E	LARGE/SMALL/WHALE slices — deferred (needs size_thr percentile anchors, E53)
E52.06	E	LARGE/SMALL/WHALE slices — deferred (needs size_thr percentile anchors, E53)
E52.07	E	LARGE/SMALL/WHALE slices — deferred (needs size_thr percentile anchors, E53)
E52.08	E	LARGE/SMALL/WHALE slices — deferred (needs size_thr percentile anchors, E53)
E52.09	E	LARGE/SMALL/WHALE slices — deferred (needs size_thr percentile anchors, E53)
E52.10	E	LARGE/SMALL/WHALE slices — deferred (needs size_thr percentile anchors, E53)
E53.01	E	size_thr rolling-60min anchors — NOT in closed_buckets (engine_state; moving anchor)
E53.02	E	size_thr rolling-60min anchors — NOT in closed_buckets (engine_state; moving anchor)
E53.03	E	size_thr rolling-60min anchors — NOT in closed_buckets (engine_state; moving anchor)
E53.04	E	size_thr rolling-60min anchors — NOT in closed_buckets (engine_state; moving anchor)
E53.05	E	size_thr rolling-60min anchors — NOT in closed_buckets (engine_state; moving anchor)
E53.06	E	size_thr rolling-60min anchors — NOT in closed_buckets (engine_state; moving anchor)
E53.07	E	size_thr rolling-60min anchors — NOT in closed_buckets (engine_state; moving anchor)
E53.08	E	size_thr rolling-60min anchors — NOT in closed_buckets (engine_state; moving anchor)
E53.09	E	size_thr rolling-60min anchors — NOT in closed_buckets (engine_state; moving anchor)
E53.10	E	size_thr rolling-60min anchors — NOT in closed_buckets (engine_state; moving anchor)
E54.06	E	catalog transform not unambiguously specified
E54.07	E	catalog transform not unambiguously specified
E54.08	E	catalog transform not unambiguously specified
E54.09	E	catalog transform not unambiguously specified
E54.10	E	catalog transform not unambiguously specified
E55.02	E	catalog transform not unambiguously specified
E55.03	E	catalog transform not unambiguously specified
E55.04	E	catalog transform not unambiguously specified
E55.05	E	catalog transform not unambiguously specified
E55.06	E	catalog transform not unambiguously specified
E55.07	E	catalog transform not unambiguously specified
E55.08	E	catalog transform not unambiguously specified
E55.10	E	catalog transform not unambiguously specified
E56.02	E	catalog transform not unambiguously specified
E56.03	E	catalog transform not unambiguously specified
E56.04	E	catalog transform not unambiguously specified
E56.07	E	catalog transform not unambiguously specified
E56.08	E	catalog transform not unambiguously specified
E56.09	E	catalog transform not unambiguously specified
E56.10	E	catalog transform not unambiguously specified
E57.02	E	catalog transform not unambiguously specified
E57.04	E	catalog transform not unambiguously specified
E57.06	E	catalog transform not unambiguously specified
E57.07	E	catalog transform not unambiguously specified
E57.08	E	catalog transform not unambiguously specified
E57.09	E	catalog transform not unambiguously specified
E57.10	E	catalog transform not unambiguously specified
E58.01	E	fail/reclaim depth — deferred (bespoke trap geometry)
E58.02	E	fail/reclaim depth — deferred (bespoke trap geometry)
E58.03	E	fail/reclaim depth — deferred (bespoke trap geometry)
E58.04	E	fail/reclaim depth — deferred (bespoke trap geometry)
E58.05	E	fail/reclaim depth — deferred (bespoke trap geometry)
E58.06	E	fail/reclaim depth — deferred (bespoke trap geometry)
E58.07	E	fail/reclaim depth — deferred (bespoke trap geometry)
E58.08	E	fail/reclaim depth — deferred (bespoke trap geometry)
E58.09	E	fail/reclaim depth — deferred (bespoke trap geometry)
E58.10	E	fail/reclaim depth — deferred (bespoke trap geometry)
E59.01	E	trailing-30 baseline bundle — deferred (multi-quantity, ambiguous canonical)
E59.02	E	trailing-30 baseline bundle — deferred (multi-quantity, ambiguous canonical)
E59.03	E	trailing-30 baseline bundle — deferred (multi-quantity, ambiguous canonical)
E59.04	E	trailing-30 baseline bundle — deferred (multi-quantity, ambiguous canonical)
E59.05	E	trailing-30 baseline bundle — deferred (multi-quantity, ambiguous canonical)
E59.06	E	trailing-30 baseline bundle — deferred (multi-quantity, ambiguous canonical)
E59.07	E	trailing-30 baseline bundle — deferred (multi-quantity, ambiguous canonical)
E59.08	E	trailing-30 baseline bundle — deferred (multi-quantity, ambiguous canonical)
E59.09	E	trailing-30 baseline bundle — deferred (multi-quantity, ambiguous canonical)
E59.10	E	trailing-30 baseline bundle — deferred (multi-quantity, ambiguous canonical)
E60.02	E	categorical state: only raw (.01) defined
E60.03	E	categorical state: only raw (.01) defined
E60.04	E	categorical state: only raw (.01) defined
E60.05	E	categorical state: only raw (.01) defined
E60.06	E	categorical state: only raw (.01) defined
E60.07	E	categorical state: only raw (.01) defined
E60.08	E	categorical state: only raw (.01) defined
E60.09	E	categorical state: only raw (.01) defined
E60.10	E	categorical state: only raw (.01) defined
E61.01	E	per-state factor breakdown — deferred (dict output, not one scalar)
E61.02	E	per-state factor breakdown — deferred (dict output, not one scalar)
E61.03	E	per-state factor breakdown — deferred (dict output, not one scalar)
E61.04	E	per-state factor breakdown — deferred (dict output, not one scalar)
E61.05	E	per-state factor breakdown — deferred (dict output, not one scalar)
E61.06	E	per-state factor breakdown — deferred (dict output, not one scalar)
E61.07	E	per-state factor breakdown — deferred (dict output, not one scalar)
E61.08	E	per-state factor breakdown — deferred (dict output, not one scalar)
E61.09	E	per-state factor breakdown — deferred (dict output, not one scalar)
E61.10	E	per-state factor breakdown — deferred (dict output, not one scalar)
E62.02	E	categorical state: only raw (.01) defined
E62.03	E	categorical state: only raw (.01) defined
E62.04	E	categorical state: only raw (.01) defined
E62.05	E	categorical state: only raw (.01) defined
E62.06	E	categorical state: only raw (.01) defined
E62.07	E	categorical state: only raw (.01) defined
E62.08	E	categorical state: only raw (.01) defined
E62.09	E	categorical state: only raw (.01) defined
E62.10	E	categorical state: only raw (.01) defined
E63.01	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E63.02	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E63.03	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E63.04	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E63.05	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E63.06	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E63.07	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E63.08	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E63.09	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E63.10	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E64.01	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E64.02	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E64.03	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E64.04	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E64.05	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E64.06	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E64.07	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E64.08	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E64.09	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E64.10	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E65.01	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E65.02	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E65.03	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E65.04	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E65.05	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E65.06	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E65.07	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E65.08	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E65.09	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E65.10	E	order-block / cross-tf structure — deferred (needs order_blocks reconstruction)
E66.01	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E66.02	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E66.03	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E66.04	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E66.05	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E66.06	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E66.07	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E66.08	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E66.09	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E66.10	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E67.01	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E67.02	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E67.03	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E67.04	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E67.05	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E67.06	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E67.07	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E67.08	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E67.09	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E67.10	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E68.01	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E68.02	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E68.03	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E68.04	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E68.05	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E68.06	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E68.07	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E68.08	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E68.09	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E68.10	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E69.01	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
E69.02	E	six-hour store (depth.db / trade tape) — NOT COMPUTABLE (excluded by design)
