# FROZEN weights — exam v2 STEP 1A. The exam uses these tables VERBATIM; no re-tuning.
# raw_strength = Sum_bins (n_bin/n_total)*|TP%_bin - baseline|; bins n<100 -> 0; sz on sz-present rows; duplicate-value columns deduped (11 aliases folded). Discovery slice; HOLDOUT SEALED.
variant,direction,rank,feature_code,plain_name,flag,weight,cumulative_weight,effect_pp,n,deduped_aliases
W-ALL,long,69,E54.05,Tier-dwell streak,,0.0047,0.5985,1.7,6855,
W-ALL,long,70,B-P2.08,Trajectory slope across the selection,,0.0047,0.6033,-0.7,6869,
W-ALL,long,71,E12.06,Day-rank of buy volume,,0.0047,0.6080,6.9,6866,
W-ALL,long,72,E08.01,Upper wick size / lower wick size (ticks),,0.0047,0.6126,8.3,6834,
W-ALL,long,73,E18.02,z / percentile,,0.0046,0.6172,3.6,6855,
W-ALL,long,74,B-S.14,Selection range + net price change %,,0.0046,0.6217,5.6,6869,
W-ALL,long,75,B-S.06,Net dOI,,0.0046,0.6263,7.0,6869,
W-ALL,long,76,C.03,Linear-fit slope + R-squared (trendiness),,0.0046,0.6309,4.2,6869,
W-ALL,long,77,E45.02,Dispersion percentile vs window,,0.0045,0.6354,5.6,6645,
W-ALL,long,78,E05.02,Range percentile vs trailing 30/240,,0.0045,0.6399,6.4,6645,
W-ALL,long,79,B-P1.05,Absolute bull V*s over the selection,,0.0045,0.6445,4.0,6869,
W-ALL,long,80,C.10,Cumulative dOI over the 15,,0.0044,0.6489,7.0,6869,
W-ALL,long,81,B-P3.06,Aggregate seller multiple vs baseline,,0.0043,0.6532,-4.4,6869,B-S.12
W-ALL,long,82,B-P2.07,Sum: eff-agg share of selection volume,,0.0043,0.6575,-5.8,6869,
W-ALL,long,83,E31.04,Percentile vs the day,tempo,0.0043,0.6618,6.6,6573,
W-ALL,long,84,B-P2.02,Bear eff-agg percentage (badge),,0.0041,0.6659,-7.7,6869,
W-ALL,long,85,B-P2.01,Bull eff-agg percentage (badge),,0.0041,0.6700,7.7,6869,
W-ALL,long,86,E37.02,Percentile / z vs window,,0.0040,0.6740,-3.7,6855,
W-ALL,long,87,E08.08,Wick percentile vs trailing window,,0.0039,0.6779,5.1,6610,
W-ALL,long,88,B-P4.09,Peak gated score + its bucket position,,0.0039,0.6818,-3.1,6869,
W-ALL,long,89,C.02,Net % change over the 15,,0.0039,0.6856,4.9,6869,
W-ALL,long,90,C.08,Dominant 12-state verdict over the 15,,0.0038,0.6895,19.4,6869,
W-ALL,long,91,B-P1.10,Validated-dot (s>=0.60) count in selection,,0.0038,0.6933,-1.5,6869,
W-ALL,long,92,K.05,"Entry close position inside the channel, 0..1",,0.0037,0.6970,3.8,6865,
W-ALL,long,93,B-P3.07,Hot-bucket count (>=1.5x) in selection,,0.0037,0.7007,1.0,6869,
W-ALL,long,94,B-P2.04,Dominant side label,,0.0036,0.7043,3.8,6869,
W-ALL,long,95,E54.03,z / percentile vs trailing 240,,0.0036,0.7080,-4.6,6855,
W-ALL,long,96,E28.01,Raw multiple,,0.0036,0.7116,-5.0,6869,
W-ALL,long,97,C.11,Compression share (buckets under 0.6 ATR),,0.0035,0.7150,3.7,6869,
W-ALL,long,98,E29.02,Percentile / z vs trailing window,tempo,0.0035,0.7185,1.6,5454,
W-ALL,long,99,E54.01,Current value,,0.0034,0.7220,4.7,6869,
W-ALL,long,100,E43.01,POC share of curr_vol,,0.0034,0.7254,-4.9,6869,
W-ALL,long,101,K.07,Distance to nearest band (ticks and ATRs),,0.0034,0.7288,-5.7,6865,
W-ALL,long,102,B-P4.01,Current exhaustion value (badge),,0.0034,0.7321,-6.8,6869,B-P4.03
W-ALL,long,103,E03.07,Fast/slow STREAK length (consecutive buckets same class),,0.0034,0.7355,3.6,6855,
W-ALL,long,104,B-P2.05,Absolute bull V*(1-s) over the selection,,0.0033,0.7388,4.8,6869,
W-ALL,long,105,E28.05,Percentile / z vs window,,0.0033,0.7421,2.8,6855,
W-ALL,long,106,B-P4.05,Spread between the two sides,,0.0033,0.7454,-6.4,6869,
W-ALL,long,107,E21.10,Day-rank of |dOI|,,0.0033,0.7487,3.6,6866,
W-ALL,long,108,B-P3.02,Seller-side percentage (badge),,0.0033,0.7520,-5.2,6869,
W-ALL,long,109,B-P3.04,Dominant side label,,0.0032,0.7552,3.4,6869,
W-ALL,long,110,B-P3.01,Buyer-side percentage (badge),,0.0032,0.7585,5.1,6869,
W-ALL,long,111,E13.06,Day-rank of sell volume,,0.0032,0.7617,3.9,6866,
W-ALL,long,112,E28.09,Day-rank of speed,,0.0032,0.7648,-4.0,6866,
W-ALL,long,113,E45.06,Fat/thin streak,,0.0031,0.7680,3.8,6855,
W-ALL,long,114,E25.02,Percentile / z vs window,,0.0031,0.7711,1.3,6855,
W-ALL,long,115,E17.08,opS acceleration,,0.0031,0.7742,2.0,6869,
W-ALL,long,116,E24.02,z vs trailing-30,,0.0030,0.7772,-1.1,6855,
W-ALL,long,117,E05.07,Expanding/contracting range STREAK,,0.0030,0.7801,3.7,6855,
W-ALL,long,118,E20.08,Churn acceleration,,0.0029,0.7831,-1.0,6869,
W-ALL,long,119,E03.03,Duration z-score vs trailing window,,0.0029,0.7859,5.1,6855,
W-ALL,long,120,E37.06,Absorption acceleration,,0.0028,0.7888,0.4,6869,
W-ALL,long,121,E25.06,Narrow/wide streak,,0.0028,0.7915,3.1,6855,
W-ALL,long,122,E23.02,z vs trailing-30 (the baseline convention),,0.0028,0.7943,-0.2,6855,
W-ALL,long,123,E28.07,Speed acceleration vs prior,,0.0027,0.7970,-1.7,6869,
W-ALL,long,124,E19.01,clS / vol fraction,,0.0027,0.7998,-1.1,6869,
W-ALL,long,125,B-P2.06,Absolute bear V*(1-s) over the selection,,0.0027,0.8025,-2.7,6869,
W-ALL,long,126,C.09,Cumulative delta over the 15,,0.0027,0.8052,3.9,6869,
W-ALL,long,127,E43.10,Day-rank of POC share,,0.0026,0.8078,-5.2,6866,
W-ALL,long,128,E29.04,Pace streak,tempo,0.0026,0.8104,2.1,5454,
W-ALL,long,129,E12.03,Buy-dominance streak (share > 0.5),,0.0026,0.8130,4.6,6855,
W-ALL,long,130,E13.01,Sell share: sell_vol / curr_vol,,0.0026,0.8156,3.0,6869,
W-ALL,long,131,E13.08,Log sell volume,,0.0026,0.8183,3.0,6869,
W-ALL,long,132,C.01,Direction over the 15: net UP or DOWN,,0.0026,0.8209,10.0,6869,
W-ALL,long,133,E24.09,Day-rank,,0.0026,0.8234,-1.0,6866,
W-ALL,long,134,E06.02,Log return of the body,,0.0025,0.8260,2.2,6869,
W-ALL,long,135,B-P2.10,Dominance-flip count across the selection,,0.0025,0.8285,-4.4,6869,
W-ALL,long,136,E21.01,Sign: BUILD vs DRAIN,,0.0025,0.8310,3.3,6869,
W-ALL,long,137,E18.04,clL streak (sustained unwind),,0.0025,0.8336,-3.0,6855,
W-ALL,long,138,E06.01,Sign (direction) and magnitude,,0.0025,0.8360,3.2,6869,E06.10
W-ALL,long,139,E37.05,Absorption streak per side,,0.0024,0.8384,0.2,6855,
W-ALL,long,140,E20.03,z / percentile,,0.0024,0.8409,-0.2,6855,
W-ALL,long,141,E28.06,Speed streak (consecutive > 1x),,0.0024,0.8432,-1.0,6855,
W-ALL,long,142,E33.01,Buyer multiplier / seller multiplier values,,0.0024,0.8456,-3.2,6869,
W-ALL,long,143,E24.04,Percentile,,0.0023,0.8479,-1.0,6645,
W-ALL,long,144,E20.04,High-churn streak,,0.0023,0.8502,2.7,6855,
W-ALL,long,145,E55.09,Percentile-window fill health,,0.0023,0.8525,-2.0,6644,
W-ALL,long,146,E38.01,Absolute eff-agg + side,,0.0023,0.8548,0.9,6869,
W-ALL,long,147,E24.06,Hot streak,,0.0023,0.8571,-3.9,6855,
W-ALL,long,148,E23.04,Percentile vs window,,0.0022,0.8593,2.7,6645,
W-ALL,long,149,E36.04,High-s streak,,0.0022,0.8615,-0.7,6855,
W-ALL,long,150,E13.03,Sell-dominance streak,,0.0022,0.8638,-2.1,6855,
W-ALL,long,151,E16.01,opL / vol fraction,,0.0022,0.8659,1.9,6869,
W-ALL,long,152,B-P3.05,Aggregate buyer multiple vs trailing baseline,,0.0021,0.8681,3.1,6869,B-S.11
W-ALL,long,153,B-P1.08,Trajectory slope across the selection,,0.0021,0.8702,-1.7,6869,
W-ALL,long,154,E14.04,Same-sign delta streak (pressure persistence),,0.0021,0.8723,3.5,6855,
W-ALL,long,155,B-P1.07,Sum: absorbed share of selection volume,,0.0021,0.8745,2.8,6869,
W-ALL,long,156,E03.02,Duration percentile vs trailing 30 and 240 buckets,,0.0021,0.8766,2.5,6645,
W-ALL,long,157,E16.06,Day-rank of opL,,0.0021,0.8787,3.9,6866,
W-ALL,long,158,E17.02,z-score / percentile,,0.0021,0.8807,3.0,6855,
W-ALL,long,159,E39.04,Consecutive-dot streak,,0.0021,0.8828,-4.0,6855,
W-ALL,long,160,E36.03,Percentile / z vs window,,0.0020,0.8848,-1.9,6855,
W-ALL,long,161,E54.04,Slope over last N buckets,,0.0020,0.8868,-2.9,6869,
W-ALL,long,162,B-S.05,Net delta + delta percentage,,0.0020,0.8888,3.6,6869,
W-ALL,long,163,E18.01,clL / vol fraction,,0.0020,0.8908,-1.4,6869,
W-ALL,long,164,E33.05,Percentile of each vs day,,0.0020,0.8928,-2.6,6645,
W-ALL,long,165,E45.05,z-score of dispersion,,0.0020,0.8947,3.8,6855,
W-ALL,long,166,E17.01,opS / vol fraction,,0.0019,0.8966,2.3,6869,
W-ALL,long,167,E06.04,Same-direction streak length,,0.0019,0.8985,5.2,6855,
W-ALL,long,168,E17.06,Day-rank of opS,,0.0019,0.9004,2.1,6866,
W-ALL,long,169,E23.01,Raw value / log value,,0.0019,0.9023,-0.7,6869,
W-ALL,long,170,G06.1,Net OI change + open:close ratio,,0.0019,0.9042,2.7,6869,
W-ALL,long,171,C.07,Higher-highs / lower-lows counts,,0.0019,0.9060,1.2,6869,
W-ALL,long,172,B-P3.10,Entry-bucket raw value,,0.0018,0.9079,1.4,6869,
W-ALL,long,173,E05.03,Range z-score,,0.0018,0.9097,3.6,6855,
W-ALL,long,174,E14.09,Day-rank of abs(delta),,0.0018,0.9115,2.4,6866,
W-ALL,long,175,E12.02,Buy z-score / percentile vs trailing window,,0.0018,0.9133,1.2,6855,
W-ALL,long,176,E16.04,opL streak (persistent long initiative),,0.0018,0.9151,4.0,6855,
W-ALL,long,177,E15.04,Percentile / z vs window,,0.0018,0.9169,-1.2,6855,
W-ALL,long,178,G04.1,Price moved per net contract (efficiency of aggression),,0.0018,0.9187,-0.2,6869,
W-ALL,long,179,E17.04,opS streak,,0.0018,0.9204,4.2,6855,
W-ALL,long,180,E06.03,Body percentile / z-score vs window,,0.0017,0.9221,1.1,6855,
W-ALL,long,181,E10.04,Percentile vs trailing window,,0.0017,0.9239,-1.9,6610,
W-ALL,long,182,E24.01,Raw value / log value,,0.0017,0.9256,-2.3,6869,
W-ALL,long,183,B-P3.09,Peak-E/R bucket position,,0.0017,0.9273,-0.1,6869,
W-ALL,long,184,E23.09,Day-rank of buyer effort,,0.0017,0.9290,2.0,6866,
W-ALL,long,185,E43.02,Percentile / z of the share,,0.0017,0.9307,0.0,6855,
W-ALL,long,186,E37.03,Day-rank of absorbed volume,,0.0017,0.9324,-0.3,6866,
W-ALL,long,187,E36.05,s slope over last 5 buckets,,0.0017,0.9341,-1.2,6869,
W-ALL,long,188,E10.01,Raw 0..1 position,,0.0017,0.9358,-1.2,6834,G10.1
W-ALL,long,189,E56.01,ATR value,,0.0017,0.9374,3.0,6855,
W-ALL,long,190,E56.05,ATR slope (vol regime drift),,0.0016,0.9390,-0.4,6851,
W-ALL,long,191,C.12,Sweep-event count in the 15,,0.0016,0.9407,3.4,6869,
W-ALL,long,192,G03.1,delta and delta fraction (the canonical pair),,0.0016,0.9423,1.9,6869,
W-ALL,long,193,E24.08,Effort acceleration,,0.0016,0.9439,0.2,6869,
W-ALL,long,194,E33.06,Slope over the selection window,,0.0016,0.9455,-1.1,6869,
W-ALL,long,195,E57.01,Swept prior HIGH (Y/N) / swept prior LOW (Y/N),,0.0016,0.9470,2.3,6834,
W-ALL,long,196,E14.01,Sign and magnitude,,0.0016,0.9486,1.6,6869,
W-ALL,long,197,B-P3.03,Spread: buyer% - seller%,,0.0016,0.9502,-2.0,6869,
W-ALL,long,198,E16.02,z-score / percentile vs window,,0.0015,0.9517,2.3,6855,
W-ALL,long,199,B-P1.09,Peak-absorption bucket position (0..15),,0.0015,0.9533,2.1,6869,
W-ALL,long,200,E56.06,ATR percentile vs day,,0.0015,0.9548,2.0,6645,
W-ALL,long,201,E07.01,Raw fraction 0..1,,0.0015,0.9563,-1.9,6834,G02.1
W-ALL,long,202,E07.05,Trend-bar streak length,,0.0015,0.9578,-3.1,6104,
W-ALL,long,203,E13.02,Sell z-score / percentile,,0.0015,0.9593,-0.4,6855,
W-ALL,long,204,E13.10,Sell-share slope over trailing 5 buckets,,0.0015,0.9607,-1.9,6869,
W-ALL,long,205,E21.04,BUILD streak / DRAIN streak lengths,,0.0014,0.9622,2.3,6855,
W-ALL,long,206,E10.07,Persistently-high/low POC streak,,0.0014,0.9636,0.4,6104,
W-ALL,long,207,B-P1.04,Dominant side label,,0.0014,0.9650,1.5,6869,
W-ALL,long,208,E18.08,Day-rank of clL,,0.0014,0.9664,-0.1,6866,
W-ALL,long,209,E43.05,Dominant-POC streak,,0.0014,0.9678,-1.8,6855,
W-ALL,long,210,E60.01,State label (categorical) + one-hot vector,,0.0014,0.9691,6.7,6869,E62.01
W-ALL,long,211,E12.10,Buy-share slope over trailing 5 buckets,,0.0014,0.9705,1.7,6869,
W-ALL,long,212,E18.07,clL acceleration,,0.0014,0.9718,-0.7,6869,
W-ALL,long,213,E14.03,Delta z-score / percentile,,0.0014,0.9732,0.9,6855,
W-ALL,long,214,B-P2.09,Peak eff-agg bucket position,,0.0013,0.9745,0.8,6869,
W-ALL,long,215,E14.06,Delta acceleration (this vs prior magnitude),,0.0013,0.9759,-1.1,6869,
W-ALL,long,216,E15.05,One-sidedness streak,,0.0013,0.9771,-1.5,6855,
W-ALL,long,217,B-P2.11,Entry-bucket raw value,,0.0012,0.9784,1.4,6869,
W-ALL,long,218,E54.02,Tier: calm / warn / toxic (adaptive percentiles),,0.0012,0.9796,1.7,6645,E55.01
W-ALL,long,219,E16.08,opL acceleration vs prior bucket,,0.0011,0.9807,0.4,6869,
W-ALL,long,220,B-P4.02,LAST EXHAUSTED SIDE (bull / bear),,0.0011,0.9818,1.2,6869,
W-ALL,long,221,B-P2.03,Spread: bull% - bear%,,0.0011,0.9829,-0.4,6869,
W-ALL,long,222,E22.01,OPEN_OI ramp value (0.10-0.50),,0.0011,0.9841,0.3,6869,
W-ALL,long,223,E15.01,Raw fraction,,0.0011,0.9851,-0.2,6869,
W-ALL,long,224,E23.08,Effort acceleration vs prior,,0.0011,0.9862,-1.3,6869,
W-ALL,long,225,E21.03,z / percentile,,0.0010,0.9872,0.4,6855,
W-ALL,long,226,E19.04,clS streak,,0.0010,0.9882,-2.1,6855,
W-ALL,long,227,E38.07,Acceleration,,0.0009,0.9891,-1.1,6869,
W-ALL,long,228,B-P3.08,Both-hot bucket count,,0.0009,0.9901,24.4,6869,
W-ALL,long,229,E23.06,Hot streak length,,0.0009,0.9910,-0.7,6855,
W-ALL,long,230,E07.04,Percentile / z vs trailing window,,0.0009,0.9919,-0.1,6104,
W-ALL,long,231,E48.10,Acceleration,,0.0009,0.9928,1.9,6869,
W-ALL,long,232,E38.02,Percentile / z,,0.0009,0.9937,-0.1,6855,
W-ALL,long,233,E19.07,clS acceleration,,0.0008,0.9945,1.0,6869,
W-ALL,long,234,E21.08,dOI acceleration,,0.0007,0.9952,-0.4,6869,
W-ALL,long,235,C.04,Path class: trend / range / V-shape,,0.0006,0.9958,0.6,6869,
W-ALL,long,236,K.12,POC-baseline slope + consecutive-side streak,,0.0006,0.9964,-3.4,6645,
W-ALL,long,237,E37.01,Absolute absorbed volume + side,,0.0006,0.9970,0.8,6869,
W-ALL,long,238,E36.01,Raw s,,0.0006,0.9976,-0.0,6869,
W-ALL,long,239,E19.08,Day-rank of clS,,0.0006,0.9981,-0.8,6866,
W-ALL,long,240,E57.05,Sweep magnitude z,,0.0006,0.9987,-0.3,6094,
W-ALL,long,241,B-P1.11,Entry-bucket raw (un-smoothed) hover value,,0.0005,0.9992,-0.7,6869,
W-ALL,long,242,E38.06,Eff-agg streak per side,,0.0005,0.9998,0.4,6855,
W-ALL,long,243,E47.10,Acceleration vs prior bucket,,0.0002,0.9999,0.4,6869,
W-ALL,long,244,K.06,Zone tag: above / upper-half / lower-half / below,,0.0001,1.0000,0.0,6865,
W-STAT,long,1,E32.07,Percentile vs history,,0.0210,0.0210,18.4,6645,
W-STAT,long,2,E51.07,z / percentile of large share,,0.0173,0.0383,6.0,2270,
W-STAT,long,3,E51.08,Large-share streak,,0.0154,0.0537,3.9,2270,
W-STAT,long,4,E51.01,Volume per bin (vector feature),,0.0140,0.0677,-12.2,2300,
W-STAT,long,5,E48.06,Day-rank,,0.0134,0.0811,-13.4,6866,
W-STAT,long,6,E01.01,UTC hour-of-day (0-23),,0.0133,0.0944,3.6,6869,
W-STAT,long,7,E02.01,UTC hour-of-day at close,,0.0133,0.1077,3.6,6869,
W-STAT,long,8,E50.09,Large-count streak,,0.0131,0.1208,5.9,2270,
W-STAT,long,9,E49.05,Percentile of total fraction,,0.0127,0.1335,-10.6,6645,
W-STAT,long,10,E47.02,z / percentile vs window,,0.0122,0.1457,0.6,6855,
W-STAT,long,11,E50.08,Large-count percentile vs window,,0.0118,0.1576,5.2,2299,
W-STAT,long,12,E50.01,Counts per bin (vector feature),,0.0118,0.1693,-6.3,2300,
W-STAT,long,13,E52.01,large-order net side (APPROX fixed-273c),,0.0117,0.1810,5.2,2300,
W-STAT,long,14,E48.02,z / percentile,,0.0115,0.1925,-4.3,6855,
W-STAT,long,15,K.09,Squeeze flag: bandwidth in bottom percentile,,0.0115,0.2040,12.7,6645,
W-STAT,long,16,K.11,Close vs POC baseline: side + distance,,0.0105,0.2145,1.6,6646,
W-STAT,long,17,C.05,Max drawup and drawdown within the 15,,0.0104,0.2249,9.3,6869,
W-STAT,long,18,K.04,Bandwidth: (upper - lower) / mid,,0.0099,0.2348,13.5,6865,
W-STAT,long,19,E03.01,Raw seconds / log-duration,,0.0097,0.2445,-10.7,6869,G01.1
W-STAT,long,20,B-S.07,Sum OpL,,0.0097,0.2542,-0.1,6869,
W-STAT,long,21,B-S.10,Sum ClS,,0.0097,0.2639,0.5,6869,
W-STAT,long,22,B-P1.03,Spread: bull% - bear%,,0.0097,0.2736,-6.6,6869,
W-STAT,long,23,E32.01,Current size,,0.0096,0.2832,2.2,6869,
W-STAT,long,24,E42.01,Traded-level count,,0.0094,0.2926,9.4,6869,E45.01
W-STAT,long,25,E03.08,Duration acceleration: ratio vs prior bucket,,0.0094,0.3020,0.1,6869,
W-STAT,long,26,E05.01,Absolute range / range in ticks,,0.0094,0.3113,9.3,6869,
W-STAT,long,27,E47.05,Liq-short streak,,0.0091,0.3204,13.6,6855,
W-STAT,long,28,E19.02,z / percentile,,0.0091,0.3295,4.1,6855,
W-STAT,long,29,B-S.03,Total volume,,0.0086,0.3381,3.2,6869,
W-STAT,long,30,B-P4.04,Opposite side's percentage,,0.0086,0.3466,-9.1,6869,
W-STAT,long,31,B-P1.06,Absolute bear V*s over the selection,,0.0085,0.3552,11.8,6869,
W-STAT,long,32,B-S.08,Sum OpS,,0.0084,0.3636,3.2,6869,
W-STAT,long,33,K.08,Channel slope (mid-line drift over N buckets),,0.0083,0.3719,4.7,6865,
W-STAT,long,34,B-P1.02,Bear absorption percentage (badge),,0.0081,0.3800,4.5,6869,
W-STAT,long,35,E47.06,Day-rank,,0.0081,0.3881,-2.0,6866,
W-STAT,long,36,B-P1.01,Bull absorption percentage (badge),,0.0081,0.3961,-4.4,6869,
W-STAT,long,37,E57.03,Depth percentile vs window,,0.0079,0.4041,-5.6,6610,
W-STAT,long,38,E48.05,Liq-long streak,,0.0079,0.4120,-11.0,6855,
W-STAT,long,39,C.06,Realized volatility of the 15,,0.0078,0.4198,11.4,6869,
W-STAT,long,40,E20.01,churn / vol fraction,,0.0078,0.4276,3.9,6869,
W-STAT,long,41,E38.03,Day-rank,,0.0072,0.4348,0.3,6866,
W-STAT,long,42,B-P4.10,Crossover-diamond count in the selection,,0.0071,0.4418,12.1,6869,
W-STAT,long,43,E20.07,Day-rank of churn,,0.0070,0.4489,10.8,6866,
W-STAT,long,44,E25.01,Raw dispersion (ticks),,0.0068,0.4557,7.3,6869,
W-STAT,long,45,E32.03,Slope of target over the day,,0.0064,0.4621,4.2,6869,
W-STAT,long,46,E12.01,Buy share: buy_vol / curr_vol,,0.0063,0.4684,4.4,6869,
W-STAT,long,47,E12.08,Log buy volume,,0.0063,0.4747,4.4,6869,
W-STAT,long,48,B-S.09,Sum ClL,,0.0063,0.4810,-3.8,6869,
