# NOTE: flag=empty is necessary but not sufficient — apply the clock/volume/price test when reading. The excess_diff subtraction AMPLIFIES drift-trackers (regime/time/tempo/level), it does not clean them.
rank,feature_code,plain_name,flag,best_bin,n,TP_L,TP_S,whip_pct,raw_diff,excess_diff,shared,ci_lo,ci_hi,eff_blocks
87,B-S.14,Selection range + net price change %,,Q2,2623,36.2,39.6,24.2,-3.4,-6.15,-0.35,,,32
88,B-P3.06,Aggregate seller multiple vs baseline,,Q2,2539,42.7,33.8,23.5,8.9,6.14,0.38,,,32
89,B-S.12,Aggregate S-E/R multiple,,Q2,2539,42.7,33.8,23.5,8.9,6.14,0.38,,,32
90,E32.03,Slope of target over the day,tempo,Q1,2583,35.8,39.1,25.1,-3.3,-6.09,-1.23,,,32
91,C.09,Cumulative delta over the 15,,Q4,3105,42.0,33.3,24.7,8.7,5.97,-0.77,,,32
92,E28.05,Percentile / z vs window,,Q2,2639,42.1,33.4,24.5,8.6,5.88,-0.62,,,32
93,B-P3.02,Seller-side percentage (badge),,Q3,2249,37.4,40.6,22.0,-3.1,-5.87,1.89,,,32
94,B-P2.08,Trajectory slope across the selection,,Q2,2412,36.5,39.6,24.0,-3.1,-5.83,-0.07,,,32
95,E54.01,Current value,,Q4,2706,42.0,33.4,24.6,8.6,5.81,-0.71,,,24
96,B-P3.01,Buyer-side percentage (badge),,Q2,2249,37.5,40.5,22.0,-3.0,-5.78,1.89,,,32
97,C.01,Direction over the 15: net UP or DOWN,,0,169,36.1,39.1,24.9,-3.0,-5.72,-0.95,,,32
98,E09.09,POC percentile within the day's range,level,Q3,2410,37.4,40.2,22.4,-2.8,-5.54,1.45,,,32
99,E57.03,Depth percentile vs window,,Q3,2626,36.3,38.9,24.8,-2.6,-5.39,-0.89,,,32
100,E20.07,Day-rank of churn,,Q1,2311,36.7,39.3,24.0,-2.6,-5.31,-0.07,,,32
101,E28.01,Raw multiple,,Q1,2585,42.2,34.2,23.6,8.0,5.29,0.34,,,32
102,K.05,"Entry close position inside the channel, 0..1",,Q4,2565,42.2,34.2,23.6,8.0,5.23,0.27,,,32
103,B-P1.05,Absolute bull V*s over the selection,,Q4,2562,36.8,39.3,23.8,-2.5,-5.22,0.05,,,30
104,E56.06,ATR percentile vs day,,Q1,2441,37.2,39.6,23.2,-2.5,-5.22,0.67,,,32
105,B-P4.01,Current exhaustion value (badge),,Q1,2753,41.8,33.9,24.3,7.9,5.16,-0.4,,,32
106,B-P4.03,Last-exhausted side's percentage,,Q1,2753,41.8,33.9,24.3,7.9,5.16,-0.4,,,32
107,E08.01,Upper wick size / lower wick size (ticks),,Q4,2372,42.6,34.7,22.7,7.9,5.12,1.17,,,32
108,B-P2.07,Sum: eff-agg share of selection volume,,Q3,2379,37.0,39.4,23.6,-2.4,-5.12,0.32,,,32
109,E38.01,Absolute eff-agg + side,,Q2,2151,37.0,39.3,23.7,-2.3,-5.09,0.23,,,32
110,C.03,Linear-fit slope + R-squared (trendiness),,Q4,2607,42.0,34.2,23.9,7.8,5.03,0.04,,,32
111,B-P2.10,Dominance-flip count across the selection,,Q2,916,42.6,34.8,22.6,7.8,4.99,1.3,,,32
112,C.02,Net % change over the 15,,Q2,2632,37.0,39.2,23.7,-2.2,-4.96,0.19,,,32
113,E08.08,Wick percentile vs trailing window,,Q2,2371,38.0,40.2,21.9,-2.2,-4.95,2.01,,,32
114,E60.01,State label (categorical) + one-hot vector,,STRONG BEAR,552,36.8,38.9,24.3,-2.2,-4.94,-0.38,,,32
115,E62.01,Historical frequency of each state,,STRONG BEAR,552,36.8,38.9,24.3,-2.2,-4.94,-0.38,,,32
116,E24.02,z vs trailing-30,,Q2,2537,41.8,34.1,24.0,7.7,4.92,-0.15,,,32
117,E17.08,opS acceleration,,Q2,2473,40.4,32.7,26.9,7.7,4.92,-2.99,,,32
118,E28.07,Speed acceleration vs prior,,Q2,2483,42.2,34.5,23.3,7.7,4.89,0.58,,,32
119,E06.01,Sign (direction) and magnitude,,0,763,37.6,39.7,22.7,-2.1,-4.86,1.22,,,32
120,E06.10,Contribution sign to trailing bucket-CVD of price,,0,763,37.6,39.7,22.7,-2.1,-4.86,1.22,,,32
121,B-P3.04,Dominant side label,,seller,4777,37.1,39.2,23.6,-2.1,-4.85,0.26,,,32
122,E45.06,Fat/thin streak,,Q1,3281,36.9,39.0,24.2,-2.1,-4.83,-0.27,,,32
123,B-P3.08,Both-hot bucket count,,1,625,41.9,34.4,23.7,7.5,4.76,0.22,,,20
124,E20.04,High-churn streak,,Q4,2124,40.1,32.6,27.3,7.4,4.68,-3.41,,,32
125,B-P2.04,Dominant side label,,bear,4817,36.9,38.8,24.3,-1.9,-4.67,-0.41,,,32
126,E48.05,Liq-long streak,,Q1,2551,41.9,34.5,23.5,7.4,4.65,0.38,,,32
127,E19.01,clS / vol fraction,,Q2,2458,37.6,39.4,22.9,-1.8,-4.55,0.95,,,32
128,B-P2.06,Absolute bear V*(1-s) over the selection,,Q1,2331,41.8,34.6,23.6,7.2,4.45,0.35,,,30
129,B-P4.05,Spread between the two sides,,Q4,2365,37.3,38.9,23.9,-1.6,-4.37,0.01,,,32
130,E31.04,Percentile vs the day,tempo,Q2,2335,37.6,39.2,23.2,-1.6,-4.35,0.69,,,32
131,B-P3.10,Entry-bucket raw value,,Q3,2525,42.5,35.4,22.1,7.1,4.33,1.8,,,32
132,E13.01,Sell share: sell_vol / curr_vol,,Q3,2662,41.7,34.6,23.7,7.1,4.3,0.23,,,32
133,E13.08,Log sell volume,,Q3,2662,41.7,34.6,23.7,7.1,4.3,0.23,,,32
134,E28.06,Speed streak (consecutive > 1x),,Q1,2544,41.0,33.9,25.1,7.0,4.27,-1.22,,,32
135,E56.01,ATR value,,Q1,2476,37.3,38.8,23.9,-1.5,-4.26,0.03,,,32
136,E36.04,High-s streak,,Q4,1791,38.0,39.5,22.5,-1.5,-4.21,1.4,,,32
137,E05.07,Expanding/contracting range STREAK,,Q1,3316,37.1,38.6,24.3,-1.4,-4.21,-0.41,,,32
138,E06.02,Log return of the body,,Q4,2471,41.1,34.1,24.8,7.0,4.2,-0.91,,,32
139,E16.01,opL / vol fraction,,Q2,2369,37.4,38.9,23.7,-1.4,-4.2,0.22,,,32
140,E05.03,Range z-score,,Q1,2486,37.6,39.0,23.5,-1.4,-4.17,0.45,,,32
141,E24.04,Percentile,,Q4,2384,37.5,38.9,23.6,-1.4,-4.15,0.28,,,32
142,E24.09,Day-rank,,Q4,2555,37.7,39.1,23.2,-1.4,-4.13,0.65,,,32
143,E10.01,Raw 0..1 position,,Q3,2195,42.2,35.4,22.4,6.9,4.12,1.48,,,32
144,G10.1,poc_pos and close-vs-VA position (acceptance/rejection),,Q3,2195,42.2,35.4,22.4,6.9,4.12,1.48,,,32
145,E38.06,Eff-agg streak per side,,Q4,1285,41.9,35.1,23.0,6.8,4.09,0.94,,,32
146,E45.05,z-score of dispersion,,Q1,2484,37.6,38.8,23.6,-1.2,-4.01,0.27,,,32
147,E12.03,Buy-dominance streak (share > 0.5),,Q4,1944,40.7,34.0,25.4,6.7,3.98,-1.46,,,32
148,E36.03,Percentile / z vs window,,Q1,2426,41.7,35.0,23.4,6.7,3.96,0.53,,,32
149,E03.03,Duration z-score vs trailing window,,Q4,2450,41.8,35.1,23.2,6.7,3.93,0.71,,,32
150,E07.05,Trend-bar streak length,,Q4,1165,36.9,38.0,25.1,-1.1,-3.88,-1.17,,,32
151,E37.03,Day-rank of absorbed volume,,Q2,2426,41.5,34.9,23.6,6.6,3.83,0.32,,,32
152,E28.09,Day-rank of speed,,Q1,2487,41.5,34.9,23.5,6.6,3.83,0.38,,,32
153,E25.06,Narrow/wide streak,,Q1,3696,37.4,38.4,24.2,-1.1,-3.82,-0.26,,,32
154,C.07,Higher-highs / lower-lows counts,,Q1,2775,37.0,38.0,25.0,-1.0,-3.81,-1.11,,,32
155,E37.05,Absorption streak per side,,Q4,1732,38.2,39.2,22.6,-1.0,-3.8,1.27,,,32
156,E16.04,opL streak (persistent long initiative),,Q4,1461,42.2,35.7,22.1,6.4,3.67,1.79,,,32
157,E43.01,POC share of curr_vol,,Q4,2284,37.4,38.3,24.3,-0.9,-3.64,-0.45,,,32
158,G03.1,delta and delta fraction (the canonical pair),,Q1,2534,38.5,39.3,22.3,-0.8,-3.55,1.64,,,32
159,E12.06,Day-rank of buy volume,,Q4,2565,40.5,34.3,25.2,6.3,3.52,-1.29,,,31
160,E20.03,z / percentile,,Q2,2532,38.4,39.1,22.4,-0.7,-3.47,1.47,,,32
161,E14.09,Day-rank of abs(delta),,Q1,2555,38.4,39.1,22.6,-0.7,-3.47,1.31,,,32
162,E24.06,Hot streak,,Q4,2130,38.4,39.1,22.6,-0.7,-3.47,1.32,,,32
163,B-P1.11,Entry-bucket raw (un-smoothed) hover value,,Q2,2850,37.9,38.5,23.6,-0.7,-3.43,0.28,,,32
164,E37.06,Absorption acceleration,,Q2,2302,37.5,38.1,24.4,-0.7,-3.41,-0.47,,,32
165,B-P2.11,Entry-bucket raw value,,Q2,3465,40.7,34.6,24.7,6.1,3.33,-0.81,,,32
166,C.11,Compression share (buckets under 0.6 ATR),,Q2,3023,37.6,38.1,24.3,-0.5,-3.29,-0.42,,,32
167,C.12,Sweep-event count in the 15,,Q4,1262,39.4,33.4,27.3,6.0,3.26,-3.36,,,32
168,B-P1.04,Dominant side label,,bear,4900,37.6,38.1,24.3,-0.5,-3.25,-0.39,,,32
169,E37.02,Percentile / z vs window,,Q1,2400,41.6,35.6,22.8,6.0,3.24,1.15,,,32
170,E14.04,Same-sign delta streak (pressure persistence),,Q4,1922,40.4,34.4,25.2,6.0,3.22,-1.34,,,32
171,E43.10,Day-rank of POC share,,Q4,2425,37.6,38.1,24.2,-0.5,-3.21,-0.35,,,32
172,E20.08,Churn acceleration,,Q3,2431,36.7,37.1,26.2,-0.5,-3.21,-2.26,,,32
173,E25.02,Percentile / z vs window,,Q3,2512,41.4,35.5,23.1,6.0,3.21,0.81,,,32
174,E18.08,Day-rank of clL,,Q1,2122,40.2,34.3,25.4,5.9,3.18,-1.55,,,25
175,E16.02,z-score / percentile vs window,,Q1,2447,38.0,38.3,23.7,-0.4,-3.13,0.2,,,32
176,E17.02,z-score / percentile,,Q1,2446,38.2,38.6,23.2,-0.3,-3.09,0.68,,,32
177,E29.04,Pace streak,tempo,Q3,1739,37.7,38.0,24.3,-0.3,-3.05,-0.37,,,32
178,E38.02,Percentile / z,,Q4,2514,40.2,34.4,25.4,5.8,3.05,-1.48,,,32
179,E13.06,Day-rank of sell volume,,Q3,2698,41.1,35.3,23.6,5.8,3.02,0.25,,,32
180,E19.07,clS acceleration,,Q3,2350,39.4,39.6,21.0,-0.3,-3.02,2.88,,,32
181,E13.10,Sell-share slope over trailing 5 buckets,,Q4,2638,38.4,38.7,22.9,-0.2,-2.99,1.0,,,32
182,E19.08,Day-rank of clS,,Q1,2143,40.0,34.3,25.7,5.7,2.98,-1.77,,,25
183,E23.01,Raw value / log value,,Q4,2947,40.7,35.0,24.3,5.7,2.94,-0.43,,,32
184,E22.01,OPEN_OI ramp value (0.10-0.50),,Q2,2455,38.7,38.8,22.5,-0.1,-2.88,1.41,,,32
185,E14.01,Sign and magnitude,,-1,4874,38.2,38.2,23.6,-0.1,-2.84,0.3,,,32
186,E48.10,Acceleration,,Q2,1291,38.9,39.0,22.2,-0.1,-2.84,1.74,,,32
187,E10.04,Percentile vs trailing window,,Q4,2416,37.8,37.8,24.4,-0.0,-2.8,-0.48,,,32
188,E23.04,Percentile vs window,,Q1,2457,38.3,38.3,23.4,-0.0,-2.8,0.54,,,32
189,E47.10,Acceleration vs prior bucket,,Q2,1516,40.7,35.2,24.1,5.5,2.78,-0.24,,,32
190,B-P1.08,Trajectory slope across the selection,,Q2,2535,40.4,34.9,24.7,5.5,2.76,-0.84,,,32
191,E12.02,Buy z-score / percentile vs trailing window,,Q2,2476,38.2,38.2,23.5,0.0,-2.76,0.39,,,32
192,E57.01,Swept prior HIGH (Y/N) / swept prior LOW (Y/N),,Q2,2383,41.0,35.5,23.6,5.5,2.74,0.31,,,32
193,B-P4.02,LAST EXHAUSTED SIDE (bull / bear),,bull,4147,38.4,38.3,23.3,0.1,-2.62,0.63,,,32
194,E57.05,Sweep magnitude z,,Q3,2166,38.6,38.4,23.1,0.2,-2.58,0.81,,,32
195,E33.05,Percentile of each vs day,,Q4,2423,38.2,38.0,23.9,0.2,-2.55,0.04,,,32
196,E54.02,Tier: calm / warn / toxic (adaptive percentiles),,Q3,2347,38.3,38.0,23.7,0.2,-2.55,0.21,,,32
197,E55.01,Current warn / toxic threshold values,,Q3,2347,38.3,38.0,23.7,0.2,-2.55,0.21,,,32
198,E17.06,Day-rank of opS,,Q1,2152,40.1,34.8,25.1,5.3,2.54,-1.19,,,25
199,E29.02,Percentile / z vs trailing window,tempo,Q1,1869,38.4,38.1,23.4,0.3,-2.49,0.46,,,32
200,E13.03,Sell-dominance streak,,Q3,1113,38.2,37.8,24.0,0.4,-2.4,-0.09,,,32
201,E56.05,ATR slope (vol regime drift),,Q2,2465,37.9,37.5,24.6,0.4,-2.4,-0.69,,,32
202,E12.10,Buy-share slope over trailing 5 buckets,,Q1,2644,38.5,38.1,23.3,0.4,-2.35,0.56,,,32
203,E06.04,Same-direction streak length,,Q4,1336,40.9,35.8,23.4,5.1,2.33,0.54,,,32
204,E06.03,Body percentile / z-score vs window,,Q2,2464,37.8,37.4,24.8,0.4,-2.31,-0.9,,,32
205,E43.02,Percentile / z of the share,,Q2,2677,40.6,35.6,23.8,5.0,2.28,0.07,,,32
206,G06.1,Net OI change + open:close ratio,,Q4,2661,41.3,36.3,22.3,5.0,2.24,1.58,,,32
207,E21.10,Day-rank of |dOI|,,Q4,2586,41.3,36.3,22.4,5.0,2.23,1.51,,,32
208,K.06,Zone tag: above / upper-half / lower-half / below,,below,1023,39.6,34.6,25.8,5.0,2.22,-1.91,,,32
209,E18.04,clL streak (sustained unwind),,Q1,2833,40.0,35.0,25.0,5.0,2.22,-1.09,,,32
210,E10.07,Persistently-high/low POC streak,,Q4,2138,40.9,35.9,23.2,5.0,2.2,0.7,,,32
211,E15.01,Raw fraction,,Q3,2459,38.2,37.7,24.1,0.6,-2.19,-0.22,,,32
212,E16.08,opL acceleration vs prior bucket,,Q3,2363,38.9,38.3,22.7,0.6,-2.17,1.17,,,32
213,E33.01,Buyer multiplier / seller multiplier values,,Q4,2478,38.4,37.8,23.8,0.6,-2.16,0.13,,,32
214,E21.01,Sign: BUILD vs DRAIN,,0,1228,37.7,32.8,29.5,4.9,2.12,-5.58,,,32
215,E36.05,s slope over last 5 buckets,,Q4,2499,38.5,37.9,23.6,0.6,-2.12,0.33,,,32
216,B-P1.09,Peak-absorption bucket position (0..15),,Q4,1893,39.0,38.3,22.7,0.7,-2.07,1.18,,,32
217,E23.02,z vs trailing-30 (the baseline convention),,Q2,2573,41.2,36.4,22.4,4.8,2.06,1.47,,,32
218,E14.03,Delta z-score / percentile,,Q2,2487,38.8,38.1,23.0,0.7,-2.04,0.86,,,32
219,E03.02,Duration percentile vs trailing 30 and 240 buckets,,Q1,2475,37.3,36.6,26.1,0.7,-2.03,-2.24,,,32
220,E37.01,Absolute absorbed volume + side,,Q2,2209,38.9,38.2,22.9,0.8,-1.99,0.99,,,32
221,B-P1.07,Sum: absorbed share of selection volume,,Q1,2537,37.6,36.9,25.5,0.8,-1.97,-1.6,,,32
222,E18.01,clL / vol fraction,,Q2,2408,38.4,37.5,24.1,0.8,-1.93,-0.19,,,32
223,E24.01,Raw value / log value,,Q4,2681,38.5,37.7,23.8,0.9,-1.9,0.1,,,32
224,E23.09,Day-rank of buyer effort,,Q1,2313,38.5,37.6,23.9,1.0,-1.81,-0.01,,,32
225,E33.06,Slope over the selection window,,Q4,2502,38.9,37.9,23.2,1.0,-1.8,0.72,,,32
226,E15.04,Percentile / z vs window,,Q4,2515,37.9,36.9,25.2,1.0,-1.77,-1.31,,,32
227,B-P3.09,Peak-E/R bucket position,,Q1,2677,40.4,36.0,23.6,4.4,1.68,0.29,,,32
228,B-P3.07,Hot-bucket count (>=1.5x) in selection,,Q3,1463,40.4,36.0,23.7,4.4,1.68,0.25,,,32
229,E36.01,Raw s,,Q3,2467,38.4,37.3,24.2,1.1,-1.67,-0.34,,,32
230,E17.04,opS streak,,Q3,1880,39.4,38.2,22.4,1.2,-1.59,1.45,,,32
231,E23.08,Effort acceleration vs prior,,Q1,2639,40.5,36.2,23.3,4.3,1.52,0.56,,,32
232,E16.06,Day-rank of opL,,Q1,2212,39.3,35.0,25.7,4.2,1.49,-1.78,,,25
233,E15.05,One-sidedness streak,,Q4,2114,38.1,36.8,25.1,1.3,-1.48,-1.22,,,32
234,B-P3.05,Aggregate buyer multiple vs trailing baseline,,Q3,2345,38.9,37.6,23.5,1.3,-1.44,0.44,,,32
235,B-S.11,Aggregate B-E/R multiple,,Q3,2345,38.9,37.6,23.5,1.3,-1.44,0.44,,,32
236,E18.07,clL acceleration,,Q3,2338,40.3,36.1,23.5,4.2,1.43,0.37,,,32
